eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,17,341,,EN BLANCO,12
GENERAL,Comuna 01,1,17,341,,NULO,0
GENERAL,Comuna 01,1,17,341,,IMPUGNADO,0
GENERAL,Comuna 01,1,17,341,,RECURRIDO,1
GENERAL,Comuna 01,1,17,341,,COMANDO,0
GENERAL,Comuna 01,1,18,347,UNION POR LA PATRIA,POSITIVO,96
GENERAL,Comuna 01,1,18,347,JUNTOS POR EL CAMBIO,POSITIVO,90
GENERAL,Comuna 01,1,18,347,LA LIBERTAD AVANZA,POSITIVO,54
GENERAL,Comuna 01,1,18,347,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
GENERAL,Comuna 01,1,18,347,HACEMOS POR NUESTRO PAIS,POSITIVO,7
GENERAL,Comuna 01,1,18,347,,EN BLANCO,4
GENERAL,Comuna 01,1,18,347,,NULO,4
GENERAL,Comuna 01,1,18,347,,IMPUGNADO,0
GENERAL,Comuna 01,1,18,347,,RECURRIDO,0
GENERAL,Comuna 01,1,18,347,,COMANDO,2
GENERAL,Comuna 01,1,19,345,UNION POR LA PATRIA,POSITIVO,105
GENERAL,Comuna 01,1,19,345,JUNTOS POR EL CAMBIO,POSITIVO,65
GENERAL,Comuna 01,1,19,345,LA LIBERTAD AVANZA,POSITIVO,46
GENERAL,Comuna 01,1,19,345,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,19,345,HACEMOS POR NUESTRO PAIS,POSITIVO,7
GENERAL,Comuna 01,1,19,345,,EN BLANCO,3
GENERAL,Comuna 01,1,19,345,,NULO,3
GENERAL,Comuna 01,1,19,345,,IMPUGNADO,0
GENERAL,Comuna 01,1,19,345,,RECURRIDO,0
GENERAL,Comuna 01,1,19,345,,COMANDO,0
GENERAL,Comuna 01,1,20,342,UNION POR LA PATRIA,POSITIVO,94
GENERAL,Comuna 01,1,20,342,JUNTOS POR EL CAMBIO,POSITIVO,88
GENERAL,Comuna 01,1,20,342,LA LIBERTAD AVANZA,POSITIVO,39
GENERAL,Comuna 01,1,20,342,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,14
GENERAL,Comuna 01,1,20,342,HACEMOS POR NUESTRO PAIS,POSITIVO,8
GENERAL,Comuna 01,1,20,342,,EN BLANCO,1
